Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Satisf
-0.207332829,0.555776854,-0.355247792,-0.369178459,0.136926541,0.045996841,1,0,-0.523913432,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1
-1.000099176,0.555776854,0.540888814,-0.369178459,-0.04322265,0.591544035,1,0,1.478228245,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1
-1.000099176,1.393899348,-0.355247792,-1.471681135,0.625071777,1.002833634,1,0,0.875523546,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
-1.792865522,0.555776854,1.43702542,-0.369178459,1.127273215,0.611802347,1,0,1.034055619,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1
-0.207332829,0.555776854,-0.355247792,-0.670644035,-0.159503245,0.570297129,1,0,0.078791269,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1
-0.207332829,0.555776854,-0.355247792,-1.221895372,-0.758091269,0.045996841,1,0,0.078791269,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1
1.378199865,-0.282345639,-1.251384397,0.638577892,-2.893803863,-3.440577601,1,0,-0.968086059,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0
0.585433518,-0.282345639,-0.355247792,0.638577892,-3.052818888,-3.440577601,1,0,-1.320645707,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1
-0.207332829,0.555776854,-0.355247792,-0.05048628,-0.159503245,-0.734269955,0,1,-0.523913432,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
-1.792865522,0.555776854,1.43702542,-0.05048628,0.171118215,0.746867124,0,1,0.078791269,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
-1.792865522,0.555776854,1.43702542,-0.05048628,-0.554485821,0.268448728,1,1,-0.523913432,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0
2.170966211,-1.120468133,-1.251384397,-0.369178459,0.625071777,0.113125638,1,1,0.68149597,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1
